Chemical,logFC,AveExpr,t,P.Value,adj.P.Val,B
PE.18.1.9Z..22.0....14.948432,-0.852326436,-2.051238845,-2.270189665,0.036819232,0.955096448,-4.439945177
C3.H.Cl2.N3.O4.S...2.5148826,-0.851365006,0.230675183,-2.264861877,0.03720889,0.955096448,-4.440694472
C5.H5.Cl.O.S...18.830265,0.670350786,0.165364993,2.248748169,0.038410825,0.955096448,-4.442959672
C20.H8.N8.S...0.97215796,-0.734481814,-1.291365734,-2.242024875,0.03892289,0.955096448,-4.443904325
DG.22.3.10Z.13Z.16Z..22.2.13Z.16Z..0.0..iso2.,-2.842138032,-4.562274336,-2.219533797,0.0406822,0.955096448,-4.447062155
Cholic.acid.glucuronide,-5.356521622,-0.104664644,-2.206497722,0.041735303,0.955096448,-4.448890736
C4.H2.Cl2.O2.S2...2.5206666,0.832505386,0.269892913,2.201882344,0.042114148,0.955096448,-4.449537811
IDFP,0.48439405,1.441453939,2.194964504,0.042687935,0.955096448,-4.450507356
PS.21.0.22.4.7Z.10Z.13Z.16Z.....20.924423,-0.556187829,-0.974671077,-2.180042017,0.043950289,0.955096448,-4.452597334
PE.16.1.9Z..20.3.8Z.11Z.14Z.....16.03479,0.549137379,-0.042883316,2.175210727,0.044366301,0.955096448,-4.453273546
PS.21.0.20.4.5Z.8Z.11Z.14Z.....14.819144,-0.825421254,1.284418082,-2.174774743,0.044404021,0.955096448,-4.453334558
DG.22.6.4Z.7Z.10Z.13Z.16Z.19Z..24.0.0.0.,-0.563140164,-0.52403308,-2.174306927,0.044444527,0.955096448,-4.453400022
PS.20.2.11Z.14Z..18.0....12.088937,-1.141339454,-1.676663658,-2.171310289,0.044704802,0.955096448,-4.45381931
PS.20.2.11Z.14Z..22.2.13Z.16Z.....15.498578,-0.818284092,0.725394244,-2.161274558,0.045586711,0.955096448,-4.455222864
C10.H3.Cl.N2.O3,-0.704615364,-1.440051384,-2.149736807,0.046620365,0.955096448,-4.456835223
X14.Fluoro.11E.tetradecenyl.acetate,0.56703268,-0.015933229,2.147545139,0.046819131,0.955096448,-4.457141343
X19.hydroxy.nonadecanoic.acid,0.5734469,2.20048077,2.144355262,0.047109816,0.955096448,-4.457586794
X2.Hexylglycerol,-12.0269598,6.624437756,-2.141808266,0.047343106,0.955096448,-4.457942391
PS.P.18.0.22.0....20.777277,-0.573376164,-0.927500621,-2.141179968,0.047400817,0.955096448,-4.4580301
X846.6788.16.86725,-0.552739414,-0.8295178,-2.140229958,0.047488201,0.955096448,-4.45816271
Glucuronic.acid...0.71900004,-0.551747686,-0.81644365,-2.137484115,0.047741601,0.955096448,-4.458545942
Plastoquinol.9...14.406501,-0.55144405,-0.953738829,-2.137143607,0.047773111,0.955096448,-4.45859346
MID41456.6..Hydroxysiphonaxanthin.ester..6..Hydroxysiphonaxanthin.dodecenoate..6..Hydroxysiphonaxant,-0.555544036,-1.182175689,-2.133907308,0.048073547,0.955096448,-4.459045022
PE.22.1.13Z..20.3.8Z.11Z.14Z..,-0.692136036,-0.822798411,-2.128289255,0.048599205,0.955096448,-4.45982863
Cys.Cys.Cys...1.7564615,-0.684970936,-0.9612011,-2.12619409,0.048796585,0.955096448,-4.460120771
PS.O.16.0.22.1.11Z.....14.890408,-5.420591408,-13.11136065,-2.122918084,0.049106683,0.955096448,-4.460577461
PS.18.1.9Z..22.1.11Z.....16.296255,-0.800443234,0.343283014,-2.119109201,0.049469489,0.955096448,-4.461108277
C37.H67.N17.O,-0.837590488,-3.430377579,-2.107128169,0.050626767,0.955096448,-4.462776839
X3.demethylubiquinone.9...12.289369,-0.693319964,-1.131737534,-2.09271658,0.052051585,0.955096448,-4.464781508
PS.18.0.22.0....13.024249,-1.142460297,-1.650281617,-2.054792046,0.055977542,0.955096448,-4.470043414
C59.H83.Cl.N2.O,-0.656531564,-0.945991998,-2.052682972,0.056203585,0.955096448,-4.470335434
X12.tetradecynoic.acid...14.166058,-0.792245267,-0.042555996,-2.002328164,0.06185241,0.955096448,-4.47728664
Trolamine,-0.653098727,0.144011064,-1.968805856,0.065892336,0.955096448,-4.481890085
PS.18.0.22.0....21.958427,-0.728383,-0.707096866,-1.965554609,0.066296528,0.955096448,-4.482335452
PS.20.3.8Z.11Z.14Z..22.2.13Z.16Z.....12.86735,-1.439147303,1.240979697,-1.963131376,0.066599231,0.955096448,-4.482667262
X818.588.15.548205,-0.577861725,-2.643291532,-1.962343449,0.066697924,0.955096448,-4.482775128
C29.H42.N2,0.519626731,0.317614144,1.960959383,0.066871605,0.955096448,-4.482964575
DG.18.0.14.0.0.0....8.597333,0.577668886,-0.749802918,1.957433008,0.067315955,0.955096448,-4.483447086
C46.H78.N8.O3,-0.727100514,-1.256605793,-1.942503542,0.069226693,0.955096448,-4.485487143
Plerixafor,-0.762139314,0.497445991,-1.915476901,0.072809669,0.955096448,-4.48916858
PA.22.6.4Z.7Z.10Z.13Z.16Z.19Z..22.1.11Z.....14.153385,1.06649955,0.092047246,1.908023537,0.073826506,0.955096448,-4.490181094
LacCer.d18.1.14.0.,-0.534546821,-1.957229488,-1.905664971,0.074150906,0.955096448,-4.490501243
C3.H.Cl2.N3.O4.S...2.1038275,-0.789433621,-0.971754836,-1.902545508,0.074581915,0.955096448,-4.490924484
PE.20.0.22.1.13Z.....21.65,-1.735454474,0.322564988,-1.892348828,0.076006388,0.955096448,-4.492306421
PS.20.2.11Z.14Z..18.0....11.965887,-0.524326421,-1.808553016,-1.892291554,0.076014457,0.955096448,-4.492314177
DG.22.2.13Z.16Z..22.5.7Z.10Z.13Z.16Z.19Z..0.0..iso2....11.476401,-0.748037621,-0.6797584,-1.873146477,0.078754842,0.955096448,-4.494902379
X30...2..O.2.hydroxy.ethane..3.hydroxy.propane..hopane,-0.780653007,0.489404112,-1.865712652,0.079842337,0.955096448,-4.495905012
PS.18.0.22.0....12.859822,-0.766472214,-1.035292575,-1.85432405,0.081534218,0.955096448,-4.497438438
C14.H7.Cl.N4.O5...1.1020294,0.454173036,-1.017751961,1.851977945,0.081886674,0.955096448,-4.497753933
X97.9292.0.5113414,-0.701982179,0.942792939,-1.835230645,0.084442023,0.955096448,-4.500002017
D...Hydroxyglutaric.acid,-0.445823857,0.645074102,-1.834847287,0.084501333,0.955096448,-4.500053394
PS.20.2.11Z.14Z..18.0....11.684001,-0.607520093,-1.524164704,-1.833967729,0.084637549,0.955096448,-4.500171255
PS.O.20.0.0.0.,0.557436014,0.335863855,1.829390341,0.085349581,0.955096448,-4.500784304
X292.4476.0.67599994,0.452061721,-1.067223966,1.828637353,0.085467216,0.955096448,-4.500885099
PS.20.1.11Z..18.0....15.222168,0.721108714,0.304191089,1.82637068,0.08582219,0.955096448,-4.501188427
PS.20.2.11Z.14Z..22.2.13Z.16Z.....15.691273,-0.465567129,-1.929865521,-1.826042865,0.085873635,0.955096448,-4.501232284
C20.H34.N4,0.489501593,1.911010686,1.821034574,0.086662994,0.955096448,-4.501901974
C44.H85.Cl.N10.O.S2,0.616844879,0.247267705,1.820721758,0.086712508,0.955096448,-4.501943781
PS.P.20.0.17.2.9Z.12Z.....19.41568,-0.762531214,0.093305918,-1.810133058,0.088403325,0.955096448,-4.503357371
Dalapon,0.744067279,0.087798805,1.806637448,0.088967845,0.955096448,-4.50382337
TG.17.0.17.1.9Z..18.3.9Z.12Z.15Z...iso6....16.894857,-0.621517536,-0.381956843,-1.805187594,0.089202916,0.955096448,-4.504016552
C37.H79.Cl.N20.S,0.702257557,-0.401411761,1.803541795,0.089470418,0.955096448,-4.504235772
PS.18.0.22.0....14.47025,-0.577294621,0.208863509,-1.797975968,0.090380299,0.955096448,-4.504976586
C5.H6.Cl.N.S4...1.6336154,-0.557453193,-0.828038821,-1.78746073,0.092121488,0.955096448,-4.506373812
C39.H49.N.O6,-2.309960179,1.276339157,-1.779007648,0.093542469,0.955096448,-4.507494757
PE.19.0.0.0.,-0.57280225,-1.475794093,-1.776986838,0.093885002,0.955096448,-4.507762429
X270.2577.7.4181433,0.594153619,1.727452158,1.775740585,0.094096792,0.955096448,-4.507927446
PS.19.1.9Z..20.0....17.457893,-0.447051921,-1.105098327,-1.769143878,0.095224824,0.955096448,-4.508800167
N..Carboxymethyl..D.alanine,0.535745437,-0.617033771,1.766495752,0.095680967,0.955096448,-4.509150147
PE.22.0.22.5.4Z.7Z.10Z.13Z.16Z..,-0.760131664,-0.817839805,-1.766480864,0.095683536,0.955096448,-4.509152114
C20.H40.O2,-3.444693866,4.562583669,-1.763807097,0.096146043,0.955096448,-4.509505272
CAY10580,-0.427964671,1.096746196,-1.762681678,0.096341301,0.955096448,-4.509653857
L.Adrenaline,-0.441435274,0.139859164,-1.76060543,0.096702435,0.955096448,-4.509927878
PE.20.2.11Z.14Z..24.1.15Z.....19.635159,0.709231507,-0.373719648,1.758475429,0.097074145,0.955096448,-4.510208859
PS.18.1.9Z..22.2.13Z.16Z.....12.450743,0.567633793,-0.248497884,1.757991919,0.097158697,0.955096448,-4.510272623
X848.6004.22.229961,-0.572481443,-1.276156082,-1.757951769,0.097165721,0.955096448,-4.510277918
X596.5045.8.593839,-0.482280014,-1.660488816,-1.750416398,0.09849185,0.955096448,-4.511270744
Plastoquinol.9,-0.422162814,-1.113153089,-1.745551209,0.099356419,0.955096448,-4.511910846
PE.20.1.11Z..18.2.9Z.12Z.....22.373657,-0.970632324,-1.520895112,-1.742402579,0.099919464,0.955096448,-4.512324718
MID41456.6..Hydroxysiphonaxanthin.ester..6..Hydroxysiphonaxanthin.dodecenoate..6..Hydroxysiphonaxant...19.033564,-0.548872129,-1.283139305,-1.740445887,0.100270761,0.955096448,-4.512581763
X256.5746.7.0212426,-0.471977086,1.082966068,-1.740274295,0.10030162,0.955096448,-4.512604298
X2.4.DP...1.6854347,-0.570168914,-0.800239296,-1.740125436,0.100328396,0.955096448,-4.512623848
X147.9899.0.56700003,-0.427210686,-0.179468713,-1.738835926,0.100560614,0.955096448,-4.512793169
C26.H57.N3.O3.S3,0.6480643,3.596323308,1.736509705,0.100980707,0.955096448,-4.513098488
all.trans.Decaprenyl.diphosphate...16.158154,-0.423881407,-1.008416805,-1.736326938,0.101013777,0.955096448,-4.513122469
C39.H81.Cl.N10.O6,-0.550960229,-1.143481614,-1.736094993,0.10105576,0.955096448,-4.513152901
C16.H30.N6,-3.285394212,0.954872066,-1.732467766,0.101714272,0.955096448,-4.513628595
PE.17.0.23.0..U....19.078909,-0.434211071,-1.105863818,-1.731723353,0.101849879,0.955096448,-4.513726171
C26.H14.N2.O12.S2,-5.187570683,-0.027131126,-1.720042447,0.103998394,0.955096448,-4.51525498
C32.H50.N8.O4,-0.556677607,-1.459103136,-1.71007912,0.105861946,0.955096448,-4.516555547
PE.O.18.0.20.0..U.,-0.415154264,-1.308461498,-1.70990802,0.1058942,0.955096448,-4.516577854
PE.20.1.11Z..18.2.9Z.12Z.....22.647053,-0.707754412,0.249359245,-1.708722313,0.106117949,0.955096448,-4.51673241
X269.8097.0.52697444,-4.263312799,-3.537288494,-1.707281776,0.106390337,0.955096448,-4.516920121
C39.H21.N5.O3,-0.418829429,-1.006947666,-1.706751884,0.106490685,0.955096448,-4.516989153
PE.21.0.0.0.,0.403116814,1.125956061,1.690905681,0.109529614,0.955096448,-4.519049229
C18.H21.Cl3.N2.O8.S2,-0.538646221,0.219478564,-1.686687223,0.110351126,0.955096448,-4.519596235
Lactosylceramide..d18.1.18.0....6.6501055,0.420560257,-0.922474091,1.68608016,0.110469783,0.955096448,-4.519674904
PS.20.1.11Z..18.0....15.005578,-1.373239478,1.303235416,-1.677300374,0.112198225,0.955096448,-4.520811261
C3.H.Cl2.N3.O4.S...2.929611,-0.569026621,0.510055282,-1.673318738,0.112989717,0.955096448,-4.52132573
C6.H6.O4,-36.96562816,1.353205669,-1.672045243,0.113243881,0.955096448,-4.521490163
PS.19.1.9Z..20.0....18.005571,-0.391244014,-0.763268873,-1.656747473,0.116335631,0.955096448,-4.523460989
X5..Cholestane.3..7..12..25.tetrol,0.451726174,0.74473516,1.656622776,0.116361128,0.955096448,-4.52347702
X12.tetradecynoic.acid...13.887606,-2.530800223,0.848274562,-1.652851351,0.117134532,0.955096448,-4.523961611
C24.H42.N4.O2,-0.3906888,0.216280161,-1.644326149,0.11889904,0.955096448,-4.525055143
PE.22.1.13Z..20.3.8Z.11Z.14Z.....12.482792,-0.403406843,-1.490887541,-1.639801934,0.119844647,0.955096448,-4.525634402
mucic.acid...1.1752632,0.529397479,-0.106768991,1.638934027,0.120026782,0.955096448,-4.525745439
X2.3.Diketo.L.gulonate...0.98727775,-0.525267943,-1.284995,-1.637396351,0.120350052,0.955096448,-4.525942098
C42.H72.N16.O3...21.396626,-1.330877947,0.106093096,-1.632262504,0.121434751,0.955096448,-4.526598055
C48.H81.N3.O3.S,-0.396431807,-1.451466604,-1.629547921,0.122011665,0.955096448,-4.526944509
PS.18.1.9Z..22.2.13Z.16Z.....14.0951,-1.402604264,-0.557783094,-1.62916983,0.122092204,0.955096448,-4.526992742
X284.4758.8.080925,-3.5748269,2.002707933,-1.62544121,0.122888885,0.955096448,-4.527468117
C36.H76.Cl.N11.O4,0.520441907,0.160633857,1.612374768,0.125715813,0.955096448,-4.529129904
X3R.Methylheptanoic.acid,-0.544720907,0.444643609,-1.592997098,0.130009896,0.955096448,-4.531582387
PS.22.1.11Z..18.0....16.43986,-0.5637478,-0.964343475,-1.592981637,0.130013371,0.955096448,-4.531584338
Galabiosylceramide..d18.1.18.0.,0.414917629,-0.765445575,1.591116325,0.130433219,0.955096448,-4.531819649
PS.18.0.22.0....12.980281,-0.811106179,-1.852558058,-1.588822233,0.130951151,0.955096448,-4.532108863
DG.22.6.4Z.7Z.10Z.13Z.16Z.19Z..24.0.0.0....11.838405,-0.634557864,-0.948344871,-1.585118089,0.131791104,0.955096448,-4.532575405
PS.22.0.18.2.9Z.12Z.....15.484294,-0.389270721,0.451363027,-1.583516015,0.132155801,0.955096448,-4.532777021
PS.22.2.13Z.16Z..20.1.11Z.....19.731804,-0.567055879,-0.013056896,-1.583282864,0.132208947,0.955096448,-4.532806354
PS.20.2.11Z.14Z..22.2.13Z.16Z.....13.848933,0.510470243,0.097482614,1.582153256,0.132466691,0.955096448,-4.53294844
C15.H30.O2,0.387799211,0.408047324,1.58079197,0.132777863,0.955096448,-4.5331196
C28.H62.Cl.N7...14.103763,0.596563786,0.674766195,1.570881773,0.135061869,0.955096448,-4.534363422
C4.H2.Cl2.O2.S2...1.3683,-0.819905958,-1.95796632,-1.551285173,0.139675928,0.955096448,-4.53681128
X114.0307.0.51347625,0.564353257,0.32003058,1.549541881,0.140092734,0.955096448,-4.537028274
C41.H70.N16.O2,0.577739279,-0.55014265,1.547100821,0.140678126,0.955096448,-4.537331912
PGF1.,-0.445698019,2.201635222,-1.546146517,0.140907536,0.955096448,-4.537450548
Cys.Cys.Cys...1.6332272,-0.563080614,-1.105919046,-1.545928348,0.140960027,0.955096448,-4.537477664
Arabinosylhypoxanthine,-0.29826924,2.158264989,-1.53960734,0.142487981,0.955096448,-4.538262453
X135.9508.0.50724995,-0.557711879,-0.124919634,-1.537498616,0.143000794,0.955096448,-4.538523889
PE.17.0.23.0..U....19.921705,-0.420656079,-2.844166729,-1.536543775,0.143233507,0.955096448,-4.538642208
C14.H28.O2,-0.814586864,-0.299145568,-1.534996052,0.14361139,0.955096448,-4.538833911
C15.H28.Cl2.N2.O10.S5,-0.550802671,0.002808364,-1.534080508,0.143835316,0.955096448,-4.538947263
PS.18.0.22.0....13.316212,-0.789527407,-0.094463666,-1.531021406,0.144585641,0.955096448,-4.53932575
C44.H84.Cl2.N8.O.S...14.167273,0.540478257,1.6803215,1.528431695,0.145223393,0.955096448,-4.53964585
X846.6217.20.801556,-0.576124893,-0.127379021,-1.527941482,0.145344379,0.955096448,-4.539706411
PS.22.0.18.2.9Z.12Z.....15.201802,0.632914914,0.66503048,1.522761209,0.146628044,0.955096448,-4.540345747
C8.H.Cl.O...13.693343,-0.782202461,0.349135838,-1.522672972,0.146649991,0.955096448,-4.540356627
Vat.Yellow.4,-0.548067143,-0.051571852,-1.522200854,0.146767465,0.955096448,-4.540414836
PA.O.20.0.22.4.7Z.10Z.13Z.16Z.....10.166316,-0.527120698,0.610533569,-1.507442133,0.150479587,0.955096448,-4.542229603
C9.H14.N4.O,-0.599305964,-0.736800384,-1.494070391,0.153910025,0.955096448,-4.543865572
C11.H23.N11.O.S,-0.780093207,0.174029652,-1.491446761,0.154590665,0.955096448,-4.544185628
X16.16.dimethyl.PGF2.,-0.456594507,2.520174852,-1.490405176,0.154861571,0.955096448,-4.544312605
PS.20.2.11Z.14Z..22.2.13Z.16Z.....13.907273,-0.444525036,-1.277131241,-1.487288458,0.155674552,0.955096448,-4.544692265
Malate,0.421444786,0.110720998,1.480004485,0.157588337,0.955096448,-4.545577846
LacCer.d18.0.14.0.,0.482081243,-0.456283459,1.479519408,0.157716474,0.955096448,-4.545636736
DG.17.2.9Z.12Z..18.3.9Z.12Z.15Z..0.0..iso2.,-0.390866729,1.130056252,-1.477369912,0.158285319,0.955096448,-4.545897563
PS.22.4.7Z.10Z.13Z.16Z..22.1.11Z.....17.827946,-0.711518229,0.809627444,-1.468957842,0.160527826,0.955096448,-4.546916278
X9.Methyl.7.bromoeudistomin.D,-0.510875543,0.057551348,-1.466450814,0.161201205,0.955096448,-4.547219254
PI.20.2.11Z.14Z..18.2.9Z.12Z.....16.119461,-0.436117793,-0.821117545,-1.464615425,0.16169566,0.955096448,-4.547440877
Siphonaxanthin.ester..Siphonaxanthin.dodecenoate...Siphonein....19.682825,-1.330428121,0.175056732,-1.463950295,0.161875155,0.955096448,-4.547521153
PI.20.3.5Z.8Z.11Z..18.1.11Z.....15.121905,0.353435621,-0.208033538,1.461829918,0.162448465,0.955096448,-4.547776929
X282.4628.7.1560726,-0.410006229,2.526842979,-1.459128865,0.1631812,0.955096448,-4.548102447
PS.P.18.0.22.0....21.432997,-0.576075371,-2.343991911,-1.454809429,0.16435862,0.955096448,-4.548622296
X147.9732.13.978925,-1.661979186,-2.386285367,-1.452650712,0.164949671,0.955096448,-4.548881773
PE.18.1.9Z..22.0....15.06079,-0.531486507,-1.638552964,-1.448656386,0.166047913,0.955096448,-4.54936131
PS.18.1.9Z..22.2.13Z.16Z.....12.280625,0.390224526,0.484381806,1.447853236,0.166269463,0.955096448,-4.54945764
PS.22.0.18.2.9Z.12Z.....15.006549,-0.431270814,-0.780076245,-1.445503011,0.166919171,0.955096448,-4.549739353
C18.H34.O2,-0.384266366,2.649659734,-1.445196027,0.167004189,0.955096448,-4.549776131
C5.H5.Cl.O.S...18.52691,0.390747929,0.464386148,1.444321056,0.167246703,0.955096448,-4.549880931
PE.18.3.6Z.9Z.12Z..19.0.,-0.425614129,1.120056475,-1.442154927,0.167848329,0.955096448,-4.550140224
C51.H89.N3.O6.S,0.449542093,-1.017360418,1.44202908,0.167883336,0.955096448,-4.550155281
C29.H19.Cl3.N6.O11,0.504116407,0.667916593,1.436358554,0.169466957,0.955096448,-4.550832966
X11.methyl.tridecanoic.acid,0.447479029,-0.635189413,1.434937062,0.169865853,0.955096448,-4.551002607
C25.H38.N8.O,-0.489879693,-2.26380858,-1.433102272,0.170381862,0.955096448,-4.551221427
C45.H84.N2.O12,-0.656473449,-0.945365175,-1.431038363,0.170963841,0.955096448,-4.551467379
C43.H24.Cl2.N2.O6.S2,0.495696007,-0.069172386,1.42955175,0.17138404,0.955096448,-4.551644408
Erucicoyl.EA,-0.744162374,0.823475512,-1.426893859,0.172137412,0.955096448,-4.551960649
PS.18.0.22.0....12.536692,-0.426860214,-0.660797721,-1.426217995,0.172329415,0.955096448,-4.55204101
X18.fluoro.9E.octadecenoic.acid,-0.260161042,1.606995589,-1.425708023,0.172474406,0.955096448,-4.552101631
X540.4412.7.001353,-0.337611543,-1.411595157,-1.424986421,0.172679736,0.955096448,-4.552187388
Siphonaxanthin.ester..Siphonaxanthin.dodecenoate...Siphonein....19.692064,-0.428275307,-1.12708552,-1.424801881,0.172732279,0.955096448,-4.552209315
N.6...Octanoyl.lysine...13.931998,-0.43935235,-0.724524093,-1.424555454,0.172802462,0.955096448,-4.552238593
X332.2731.7.010168,-0.399640021,0.856647168,-1.424275904,0.172882107,0.955096448,-4.552271803
C7.H8.O4.S5,-0.432558169,-0.019265187,-1.415598609,0.175369243,0.955096448,-4.55330074
PS.20.3.8Z.11Z.14Z..22.2.13Z.16Z..,-0.755636161,-2.263332424,-1.413712054,0.175913819,0.955096448,-4.553523955
DG.22.2.13Z.16Z..22.5.7Z.10Z.13Z.16Z.19Z..0.0..iso2.,-0.46554695,-0.072416007,-1.410004258,0.17698813,0.955096448,-4.553962145
C4.H2.Cl2.O2.S2...2.7883,0.426160964,-0.153742766,1.407820953,0.177623221,0.955096448,-4.554219852
X196.9138.1.9227998,0.305298021,-0.275537982,1.40656789,0.177988555,0.955096448,-4.554367651
Cys.Cys.Cys...1.0820285,0.343802064,-0.925125396,1.400568652,0.179746118,0.955096448,-4.555074176
PS.17.0.21.0....19.951315,-0.96950862,0.348908388,-1.40008479,0.179888484,0.955096448,-4.555131081
C13.H26.O2,-0.291207421,0.717093439,-1.398481088,0.180360994,0.955096448,-4.555319604
MID41456.6..Hydroxysiphonaxanthin.ester..6..Hydroxysiphonaxanthin.dodecenoate..6..Hydroxysiphonaxant...19.169333,-0.414939693,-0.961233995,-1.397920772,0.180526321,0.955096448,-4.555385442
X228.34.6.331364,-0.454650136,-0.603579463,-1.396501376,0.180945678,0.955096448,-4.555552151
MID42456.1..25.dihydroxy.2...5.hydroxypentoxy.vitamin.D3...1..25.dihydroxy.2...5.hydroxypentoxy.chol,0.318595221,2.15728847,1.393553838,0.181819044,0.955096448,-4.555898018
Protopanaxadiol...18.89877,0.418303529,-0.216716846,1.391894966,0.182312073,0.955096448,-4.556092479
PE.20.1.11Z..18.2.9Z.12Z.....22.62544,-0.726213687,0.332517666,-1.38905069,0.183159933,0.955096448,-4.556425574
C42.H74.N14.O,-0.411234579,0.181674027,-1.385991385,0.18407545,0.955096448,-4.556783394
X280.3851.6.5913115,-0.457175246,1.935974207,-1.379847598,0.185925192,0.955096448,-4.557500536
PE.18.3.6Z.9Z.12Z..18.0.,-0.653190864,-0.846064543,-1.37944155,0.18604797,0.955096448,-4.557547865
Fentin.acetate,0.340858221,0.082924509,1.376460064,0.186951496,0.955096448,-4.557895124
X196.9139.0.33264706,-0.412637514,-1.461512895,-1.376381763,0.186975272,0.955096448,-4.557904238
C3.H2.Cl3.N5.S...3.5936427,-0.342579736,0.660950963,-1.376214557,0.187026053,0.955096448,-4.557923699
X868.6043.14.102054,0.430122436,-0.431323932,1.376004439,0.187089882,0.955096448,-4.557948151
DG.22.5.7Z.10Z.13Z.16Z.19Z..24.0.0.0....15.566999,0.442801857,-0.609523968,1.375201367,0.187333999,0.955096448,-4.55804159
PS.18.0.22.0....20.696833,-0.637280108,-0.143469018,-1.37395803,0.187712454,0.955096448,-4.558186188
C32.H57.Cl.N2.O,0.409360764,-0.335521686,1.371889342,0.188343499,0.955096448,-4.558426596
C4.H2.Cl2.O2.S2...5.147727,0.476401057,-0.905824863,1.370476337,0.188775513,0.955096448,-4.558590678
X1..3..4..p.menthane.3.8.diol,-0.269571371,1.673685047,-1.368369575,0.189421118,0.955096448,-4.558835129
PS.12.0.12.0..U.,-0.33458509,-1.152689317,-1.367946352,0.189551026,0.955096448,-4.558884209
C24.H54.Cl.N7...14.063611,0.295861714,0.277236232,1.366091819,0.19012112,0.955096448,-4.559099162
Pyruvatoxime,-0.299518721,0.967656745,-1.364970873,0.190466374,0.955096448,-4.559229
C51.H69.N5.O,0.434283721,-0.81989225,1.364405898,0.190640578,0.955096448,-4.559294416
DG.22.2.13Z.16Z..22.5.7Z.10Z.13Z.16Z.19Z..0.0..iso2....11.762518,-0.425915664,-1.286845391,-1.361172868,0.191639916,0.955096448,-4.559668433
Bisphenol.A.bis.chloroformate.,0.4247244,-0.425489293,1.359481478,0.192164403,0.955096448,-4.559863886
PS.18.0.22.0....12.972369,-0.487471229,-0.670527652,-1.35915783,0.192264895,0.955096448,-4.559901269
TG.17.0.17.1.9Z..18.3.9Z.12Z.15Z...iso6....17.180643,-0.412593264,-0.153493854,-1.35558828,0.193376033,0.955096448,-4.560313203
C51.H100.Cl.N.O5.S...17.920801,-0.413683671,0.493291718,-1.354732346,0.193643234,0.955096448,-4.56041188
PE.20.1.11Z..18.2.9Z.12Z.....22.707428,-0.405786321,-0.18344682,-1.352139802,0.194454368,0.955096448,-4.560710528
Hydroxyibuprofen,0.331118521,0.447871875,1.352079455,0.194473282,0.955096448,-4.560717475
C50.H82.N2.O5,-0.449348407,-0.572809327,-1.350102178,0.195093793,0.955096448,-4.560945002
PS.22.2.13Z.16Z..20.1.11Z.....20.085497,-0.429233857,-0.894810113,-1.349950021,0.195141609,0.955096448,-4.560962502
C30.H4.N2.S4,0.332229671,0.096664805,1.346585609,0.196201283,0.955096448,-4.561349144
X3.demethylubiquinone.9,-0.592418543,-1.494363454,-1.337977053,0.198933645,0.955096448,-4.562335703
PS.22.2.13Z.16Z..20.1.11Z.....18.853132,-0.505947979,-0.46556927,-1.333346332,0.200415957,0.955096448,-4.562864749
X820.6046.19.88427,-0.401291971,-0.633687618,-1.331515145,0.201004551,0.955096448,-4.563073638
C22.H25.Cl3.N10.O5.S3,0.308904271,0.574492302,1.329993047,0.201494842,0.955096448,-4.56324713
